"LSOA11CD","LSOA21CD","LinkCode","Households","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000001","E01000001","E01000001_E01000001",827,827,827,1,1,"U"
"E01000002","E01000002","E01000002_E01000002",823,823,823,1,1,"U"
"E01000003","E01000003","E01000003_E01000003",1019,1019,1019,1,1,"U"
"E01000005","E01000005","E01000005_E01000005",480,480,480,1,1,"U"
"E01000006","E01000006","E01000006_E01000006",516,516,516,1,1,"U"
"E01000007","E01000007","E01000007_E01000007",1203,1203,1203,1,1,"U"
"E01000008","E01000008","E01000008_E01000008",546,546,546,1,1,"U"
"E01000009","E01000009","E01000009_E01000009",608,608,608,1,1,"U"
"E01000010","E01034473","E01000010_E01034473",445,1308,445,1,0.340214067278287,"S"
"E01000010","E01034474","E01000010_E01034474",863,1308,863,1,0.659785932721712,"S"
"E01000011","E01000011","E01000011_E01000011",472,472,472,1,1,"U"
"E01000012","E01000012","E01000012_E01000012",772,772,772,1,1,"U"
"E01000013","E01000013","E01000013_E01000013",618,618,618,1,1,"U"
"E01000014","E01000014","E01000014_E01000014",630,630,630,1,1,"U"
"E01000015","E01000015","E01000015_E01000015",836,836,836,1,1,"U"
"E01000016","E01000016","E01000016_E01000016",629,629,629,1,1,"U"
"E01000017","E01000017","E01000017_E01000017",607,607,607,1,1,"U"
"E01000018","E01000018","E01000018_E01000018",649,649,649,1,1,"U"
"E01000019","E01000019","E01000019_E01000019",504,504,504,1,1,"U"
"E01000020","E01000020","E01000020_E01000020",661,661,661,1,1,"U"
"E01000021","E01000021","E01000021_E01000021",577,577,577,1,1,"U"
"E01000022","E01000022","E01000022_E01000022",488,488,488,1,1,"U"
"E01000023","E01034471","E01000023_E01034471",781,1445,781,1,0.540484429065744,"S"
"E01000023","E01034472","E01000023_E01034472",664,1445,664,1,0.459515570934256,"S"
"E01000024","E01000024","E01000024_E01000024",434,434,434,1,1,"U"
"E01000025","E01000025","E01000025_E01000025",676,676,676,1,1,"U"
"E01000027","E01000027","E01000027_E01000027",659,659,659,1,1,"U"
"E01000028","E01000028","E01000028_E01000028",640,640,640,1,1,"U"
"E01000029","E01000029","E01000029_E01000029",647,647,647,1,1,"U"
"E01000030","E01000030","E01000030_E01000030",892,892,892,1,1,"U"
"E01000031","E01000031","E01000031_E01000031",600,600,600,1,1,"U"
"E01000032","E01000032","E01000032_E01000032",725,725,725,1,1,"U"
"E01000033","E01000033","E01000033_E01000033",554,554,554,1,1,"U"
"E01000034","E01000034","E01000034_E01000034",514,514,514,1,1,"U"
"E01000035","E01000035","E01000035_E01000035",593,593,593,1,1,"U"
"E01000036","E01000036","E01000036_E01000036",474,474,474,1,1,"U"
"E01000037","E01000037","E01000037_E01000037",550,550,550,1,1,"U"
"E01000038","E01000038","E01000038_E01000038",601,601,601,1,1,"U"
"E01000039","E01000039","E01000039_E01000039",647,647,647,1,1,"U"
"E01000040","E01000040","E01000040_E01000040",657,657,657,1,1,"U"
"E01000041","E01000041","E01000041_E01000041",597,597,597,1,1,"U"
"E01000042","E01000042","E01000042_E01000042",652,652,652,1,1,"U"
"E01000043","E01000043","E01000043_E01000043",471,471,471,1,1,"U"
"E01000044","E01000044","E01000044_E01000044",659,659,659,1,1,"U"
"E01000045","E01000045","E01000045_E01000045",584,584,584,1,1,"U"
"E01000046","E01000046","E01000046_E01000046",698,698,698,1,1,"U"
"E01000048","E01034479","E01000048_E01034479",180,180,790,0.227848101265823,1,"M"
"E01000049","E01000049","E01000049_E01000049",584,584,584,1,1,"U"
"E01000050","E01000050","E01000050_E01000050",545,545,545,1,1,"U"
"E01000051","E01000051","E01000051_E01000051",447,447,447,1,1,"U"
"E01000052","E01000052","E01000052_E01000052",798,798,798,1,1,"U"
"E01000053","E01000053","E01000053_E01000053",633,633,633,1,1,"U"
"E01000054","E01000054","E01000054_E01000054",641,641,641,1,1,"U"
"E01000055","E01000055","E01000055_E01000055",568,568,568,1,1,"U"
"E01000056","E01000056","E01000056_E01000056",564,564,564,1,1,"U"
"E01000057","E01000057","E01000057_E01000057",482,482,482,1,1,"U"
"E01000058","E01000058","E01000058_E01000058",701,701,701,1,1,"U"
"E01000059","E01000059","E01000059_E01000059",577,577,577,1,1,"U"
"E01000060","E01000060","E01000060_E01000060",754,754,754,1,1,"U"
"E01000061","E01000061","E01000061_E01000061",825,825,825,1,1,"U"
"E01000062","E01000062","E01000062_E01000062",728,728,728,1,1,"U"
"E01000063","E01000063","E01000063_E01000063",601,601,601,1,1,"U"
"E01000064","E01000064","E01000064_E01000064",796,796,796,1,1,"U"
"E01000065","E01000065","E01000065_E01000065",804,804,804,1,1,"U"
"E01000066","E01000066","E01000066_E01000066",711,711,711,1,1,"U"
"E01000067","E01000067","E01000067_E01000067",656,656,656,1,1,"U"
"E01000068","E01000068","E01000068_E01000068",508,508,508,1,1,"U"
"E01000069","E01000069","E01000069_E01000069",540,540,540,1,1,"U"
"E01000070","E01000070","E01000070_E01000070",575,575,575,1,1,"U"
"E01000071","E01000071","E01000071_E01000071",804,804,804,1,1,"U"
"E01000072","E01000072","E01000072_E01000072",743,743,743,1,1,"U"
"E01000073","E01000073","E01000073_E01000073",666,666,666,1,1,"U"
"E01000074","E01000074","E01000074_E01000074",621,621,621,1,1,"U"
"E01000075","E01000075","E01000075_E01000075",645,645,645,1,1,"U"
"E01000076","E01000076","E01000076_E01000076",797,797,797,1,1,"U"
"E01000077","E01000077","E01000077_E01000077",634,634,634,1,1,"U"
"E01000078","E01000078","E01000078_E01000078",611,611,611,1,1,"U"
"E01000079","E01000079","E01000079_E01000079",658,658,658,1,1,"U"
"E01000080","E01000080","E01000080_E01000080",602,602,602,1,1,"U"
"E01000081","E01000081","E01000081_E01000081",634,634,634,1,1,"U"
"E01000082","E01000082","E01000082_E01000082",644,644,644,1,1,"U"
"E01000083","E01000083","E01000083_E01000083",626,626,626,1,1,"U"
"E01000084","E01000084","E01000084_E01000084",502,502,502,1,1,"U"
"E01000085","E01000085","E01000085_E01000085",563,563,563,1,1,"U"
"E01000086","E01000086","E01000086_E01000086",500,500,500,1,1,"U"
"E01000087","E01000087","E01000087_E01000087",500,500,500,1,1,"U"
"E01000088","E01000088","E01000088_E01000088",595,595,595,1,1,"U"
"E01000089","E01000089","E01000089_E01000089",600,600,600,1,1,"U"
"E01000090","E01000090","E01000090_E01000090",557,557,557,1,1,"U"
"E01000091","E01000091","E01000091_E01000091",685,685,685,1,1,"U"
"E01000092","E01034475","E01000092_E01034475",591,2192,591,1,0.269616788321168,"S"
"E01000092","E01034476","E01000092_E01034476",464,2192,464,1,0.211678832116788,"S"
"E01000092","E01034477","E01000092_E01034477",602,2192,602,1,0.27463503649635,"S"
"E01000092","E01034478","E01000092_E01034478",535,2192,535,1,0.244069343065693,"S"
"E01000093","E01000093","E01000093_E01000093",665,665,665,1,1,"U"
"E01000094","E01000094","E01000094_E01000094",750,750,750,1,1,"U"
"E01000095","E01000095","E01000095_E01000095",762,762,762,1,1,"U"
"E01000096","E01000096","E01000096_E01000096",486,486,486,1,1,"U"
"E01000097","E01000097","E01000097_E01000097",684,684,684,1,1,"U"
"E01000098","E01000098","E01000098_E01000098",648,648,648,1,1,"U"
"E01000099","E01000099","E01000099_E01000099",973,973,973,1,1,"U"
"E01000100","E01000100","E01000100_E01000100",632,632,632,1,1,"U"
"E01000101","E01000101","E01000101_E01000101",637,637,637,1,1,"U"
"E01000102","E01000102","E01000102_E01000102",703,703,703,1,1,"U"
"E01000103","E01000103","E01000103_E01000103",533,533,533,1,1,"U"
"E01000104","E01000104","E01000104_E01000104",692,692,692,1,1,"U"
"E01000105","E01000105","E01000105_E01000105",947,947,947,1,1,"U"
"E01000106","E01000106","E01000106_E01000106",872,872,872,1,1,"U"
"E01000107","E01000107","E01000107_E01000107",601,601,601,1,1,"U"
"E01000108","E01000108","E01000108_E01000108",693,693,693,1,1,"U"
"E01000109","E01034469","E01000109_E01034469",518,971,518,1,0.533470648815654,"S"
"E01000109","E01034470","E01000109_E01034470",453,971,453,1,0.466529351184346,"S"
"E01000110","E01000110","E01000110_E01000110",517,517,517,1,1,"U"
"E01000111","E01000111","E01000111_E01000111",747,747,747,1,1,"U"
"E01000112","E01000112","E01000112_E01000112",700,700,700,1,1,"U"
