"LSOA11CD","LSOA21CD","LinkCode","TotPersons","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000001","E01000001","E01000001_E01000001",1461,1461,1461,1,1,"U"
"E01000002","E01000002","E01000002_E01000002",1377,1377,1377,1,1,"U"
"E01000003","E01000003","E01000003_E01000003",1619,1619,1619,1,1,"U"
"E01000005","E01000005","E01000005_E01000005",1103,1103,1103,1,1,"U"
"E01000006","E01000006","E01000006_E01000006",1712,1712,1712,1,1,"U"
"E01000007","E01000007","E01000007_E01000007",2931,2931,2931,1,1,"U"
"E01000008","E01000008","E01000008_E01000008",1796,1796,1796,1,1,"U"
"E01000009","E01000009","E01000009_E01000009",1832,1832,1832,1,1,"U"
"E01000010","E01034473","E01000010_E01034473",1323,3578,1323,1,0.369759642258245,"S"
"E01000010","E01034474","E01000010_E01034474",2255,3578,2255,1,0.630240357741755,"S"
"E01000011","E01000011","E01000011_E01000011",1700,1700,1700,1,1,"U"
"E01000012","E01000012","E01000012_E01000012",2319,2319,2319,1,1,"U"
"E01000013","E01000013","E01000013_E01000013",1859,1859,1859,1,1,"U"
"E01000014","E01000014","E01000014_E01000014",1735,1735,1735,1,1,"U"
"E01000015","E01000015","E01000015_E01000015",2403,2403,2403,1,1,"U"
"E01000016","E01000016","E01000016_E01000016",1852,1852,1852,1,1,"U"
"E01000017","E01000017","E01000017_E01000017",1756,1756,1756,1,1,"U"
"E01000018","E01000018","E01000018_E01000018",1790,1790,1790,1,1,"U"
"E01000019","E01000019","E01000019_E01000019",1658,1658,1658,1,1,"U"
"E01000020","E01000020","E01000020_E01000020",2150,2150,2150,1,1,"U"
"E01000021","E01000021","E01000021_E01000021",1664,1664,1664,1,1,"U"
"E01000022","E01000022","E01000022_E01000022",1511,1511,1511,1,1,"U"
"E01000023","E01034471","E01000023_E01034471",2701,4584,2701,1,0.589223385689354,"S"
"E01000023","E01034472","E01000023_E01034472",1883,4584,1883,1,0.410776614310646,"S"
"E01000024","E01000024","E01000024_E01000024",1419,1419,1419,1,1,"U"
"E01000025","E01000025","E01000025_E01000025",1877,1877,1877,1,1,"U"
"E01000027","E01000027","E01000027_E01000027",2078,2078,2078,1,1,"U"
"E01000028","E01000028","E01000028_E01000028",1889,1889,1889,1,1,"U"
"E01000029","E01000029","E01000029_E01000029",1725,1725,1725,1,1,"U"
"E01000030","E01000030","E01000030_E01000030",2513,2513,2513,1,1,"U"
"E01000031","E01000031","E01000031_E01000031",1773,1773,1773,1,1,"U"
"E01000032","E01000032","E01000032_E01000032",2083,2083,2083,1,1,"U"
"E01000033","E01000033","E01000033_E01000033",1552,1552,1552,1,1,"U"
"E01000034","E01000034","E01000034_E01000034",1572,1572,1572,1,1,"U"
"E01000035","E01000035","E01000035_E01000035",1866,1866,1866,1,1,"U"
"E01000036","E01000036","E01000036_E01000036",1470,1470,1470,1,1,"U"
"E01000037","E01000037","E01000037_E01000037",1580,1580,1580,1,1,"U"
"E01000038","E01000038","E01000038_E01000038",1752,1752,1752,1,1,"U"
"E01000039","E01000039","E01000039_E01000039",1754,1754,1754,1,1,"U"
"E01000040","E01000040","E01000040_E01000040",1886,1886,1886,1,1,"U"
"E01000041","E01000041","E01000041_E01000041",1841,1841,1841,1,1,"U"
"E01000042","E01000042","E01000042_E01000042",1870,1870,1870,1,1,"U"
"E01000043","E01000043","E01000043_E01000043",1534,1534,1534,1,1,"U"
"E01000044","E01000044","E01000044_E01000044",1984,1984,1984,1,1,"U"
"E01000045","E01000045","E01000045_E01000045",1738,1738,1738,1,1,"U"
"E01000046","E01000046","E01000046_E01000046",2053,2053,2053,1,1,"U"
"E01000048","E01034479","E01000048_E01034479",637,637,2287,0.278530826410144,1,"M"
"E01000049","E01000049","E01000049_E01000049",2005,2005,2005,1,1,"U"
"E01000050","E01000050","E01000050_E01000050",1659,1659,1659,1,1,"U"
"E01000051","E01000051","E01000051_E01000051",1096,1096,1096,1,1,"U"
"E01000052","E01000052","E01000052_E01000052",2370,2370,2370,1,1,"U"
"E01000053","E01000053","E01000053_E01000053",1590,1590,1590,1,1,"U"
"E01000054","E01000054","E01000054_E01000054",1869,1869,1869,1,1,"U"
"E01000055","E01000055","E01000055_E01000055",1703,1703,1703,1,1,"U"
"E01000056","E01000056","E01000056_E01000056",1699,1699,1699,1,1,"U"
"E01000057","E01000057","E01000057_E01000057",1418,1418,1418,1,1,"U"
"E01000058","E01000058","E01000058_E01000058",2130,2130,2130,1,1,"U"
"E01000059","E01000059","E01000059_E01000059",1688,1688,1688,1,1,"U"
"E01000060","E01000060","E01000060_E01000060",2067,2067,2067,1,1,"U"
"E01000061","E01000061","E01000061_E01000061",2110,2110,2110,1,1,"U"
"E01000062","E01000062","E01000062_E01000062",2074,2074,2074,1,1,"U"
"E01000063","E01000063","E01000063_E01000063",1679,1679,1679,1,1,"U"
"E01000064","E01000064","E01000064_E01000064",2290,2290,2290,1,1,"U"
"E01000065","E01000065","E01000065_E01000065",2082,2082,2082,1,1,"U"
"E01000066","E01000066","E01000066_E01000066",2507,2507,2507,1,1,"U"
"E01000067","E01000067","E01000067_E01000067",2234,2234,2234,1,1,"U"
"E01000068","E01000068","E01000068_E01000068",1905,1905,1905,1,1,"U"
"E01000069","E01000069","E01000069_E01000069",2098,2098,2098,1,1,"U"
"E01000070","E01000070","E01000070_E01000070",2067,2067,2067,1,1,"U"
"E01000071","E01000071","E01000071_E01000071",2604,2604,2604,1,1,"U"
"E01000072","E01000072","E01000072_E01000072",2171,2171,2171,1,1,"U"
"E01000073","E01000073","E01000073_E01000073",1854,1854,1854,1,1,"U"
"E01000074","E01000074","E01000074_E01000074",1755,1755,1755,1,1,"U"
"E01000075","E01000075","E01000075_E01000075",2101,2101,2101,1,1,"U"
"E01000076","E01000076","E01000076_E01000076",2166,2166,2166,1,1,"U"
"E01000077","E01000077","E01000077_E01000077",1821,1821,1821,1,1,"U"
"E01000078","E01000078","E01000078_E01000078",1864,1864,1864,1,1,"U"
"E01000079","E01000079","E01000079_E01000079",1800,1800,1800,1,1,"U"
"E01000080","E01000080","E01000080_E01000080",1767,1767,1767,1,1,"U"
"E01000081","E01000081","E01000081_E01000081",1912,1912,1912,1,1,"U"
"E01000082","E01000082","E01000082_E01000082",1759,1759,1759,1,1,"U"
"E01000083","E01000083","E01000083_E01000083",1888,1888,1888,1,1,"U"
"E01000084","E01000084","E01000084_E01000084",1440,1440,1440,1,1,"U"
"E01000085","E01000085","E01000085_E01000085",1608,1608,1608,1,1,"U"
"E01000086","E01000086","E01000086_E01000086",1507,1507,1507,1,1,"U"
"E01000087","E01000087","E01000087_E01000087",1608,1608,1608,1,1,"U"
"E01000088","E01000088","E01000088_E01000088",1953,1953,1953,1,1,"U"
"E01000089","E01000089","E01000089_E01000089",1825,1825,1825,1,1,"U"
"E01000090","E01000090","E01000090_E01000090",1709,1709,1709,1,1,"U"
"E01000091","E01000091","E01000091_E01000091",2140,2140,2140,1,1,"U"
"E01000092","E01034475","E01000092_E01034475",1824,6601,1824,1,0.276321769428874,"S"
"E01000092","E01034476","E01000092_E01034476",1638,6601,1638,1,0.248144220572641,"S"
"E01000092","E01034477","E01000092_E01034477",1848,6601,1848,1,0.279957582184517,"S"
"E01000092","E01034478","E01000092_E01034478",1291,6601,1291,1,0.195576427813968,"S"
"E01000093","E01000093","E01000093_E01000093",1812,1812,1812,1,1,"U"
"E01000094","E01000094","E01000094_E01000094",2175,2175,2175,1,1,"U"
"E01000095","E01000095","E01000095_E01000095",2351,2351,2351,1,1,"U"
"E01000096","E01000096","E01000096_E01000096",1661,1661,1661,1,1,"U"
"E01000097","E01000097","E01000097_E01000097",1929,1929,1929,1,1,"U"
"E01000098","E01000098","E01000098_E01000098",1996,1996,1996,1,1,"U"
"E01000099","E01000099","E01000099_E01000099",2913,2913,2913,1,1,"U"
"E01000100","E01000100","E01000100_E01000100",1887,1887,1887,1,1,"U"
"E01000101","E01000101","E01000101_E01000101",1861,1861,1861,1,1,"U"
"E01000102","E01000102","E01000102_E01000102",1975,1975,1975,1,1,"U"
"E01000103","E01000103","E01000103_E01000103",1772,1772,1772,1,1,"U"
"E01000104","E01000104","E01000104_E01000104",1895,1895,1895,1,1,"U"
"E01000105","E01000105","E01000105_E01000105",2384,2384,2384,1,1,"U"
"E01000106","E01000106","E01000106_E01000106",2211,2211,2211,1,1,"U"
"E01000107","E01000107","E01000107_E01000107",1781,1781,1781,1,1,"U"
"E01000108","E01000108","E01000108_E01000108",1933,1933,1933,1,1,"U"
"E01000109","E01034469","E01000109_E01034469",1645,3108,1645,1,0.529279279279279,"S"
"E01000109","E01034470","E01000109_E01034470",1463,3108,1463,1,0.470720720720721,"S"
"E01000110","E01000110","E01000110_E01000110",1579,1579,1579,1,1,"U"
"E01000111","E01000111","E01000111_E01000111",2156,2156,2156,1,1,"U"
"E01000112","E01000112","E01000112_E01000112",1975,1975,1975,1,1,"U"
"E01000113","E01000113","E01000113_E01000113",2028,2028,2028,1,1,"U"
"E01000114","E01000114","E01000114_E01000114",2380,2380,2380,1,1,"U"
"E01000115","E01000115","E01000115_E01000115",1374,1374,1374,1,1,"U"
"E01000116","E01000116","E01000116_E01000116",1746,1746,1746,1,1,"U"
"E01000117","E01000117","E01000117_E01000117",1682,1682,1682,1,1,"U"
"E01000118","E01000118","E01000118_E01000118",2123,2123,2123,1,1,"U"
"E01000119","E01000119","E01000119_E01000119",1794,1794,1794,1,1,"U"
"E01000120","E01000120","E01000120_E01000120",1499,1499,1499,1,1,"U"
"E01000121","E01000121","E01000121_E01000121",1460,1460,1460,1,1,"U"
"E01000122","E01000122","E01000122_E01000122",1511,1511,1511,1,1,"U"
"E01000123","E01000123","E01000123_E01000123",1766,1766,1766,1,1,"U"
"E01000124","E01000124","E01000124_E01000124",1868,1868,1868,1,1,"U"
"E01000125","E01033913","E01000125_E01033913",1502,3282,1502,1,0.457647775746496,"S"
"E01000125","E01033914","E01000125_E01033914",1780,3282,1780,1,0.542352224253504,"S"
"E01000126","E01000126","E01000126_E01000126",2298,2298,2298,1,1,"U"
"E01000127","E01000127","E01000127_E01000127",1543,1543,1543,1,1,"U"
"E01000128","E01000128","E01000128_E01000128",2043,2043,2043,1,1,"U"
"E01000129","E01000129","E01000129_E01000129",1673,1673,1673,1,1,"U"
"E01000130","E01000130","E01000130_E01000130",1932,1932,1932,1,1,"U"
"E01000131","E01000131","E01000131_E01000131",2082,2082,2082,1,1,"U"
"E01000132","E01000132","E01000132_E01000132",1619,1619,1619,1,1,"U"
"E01000133","E01000133","E01000133_E01000133",1639,1639,1639,1,1,"U"
"E01000134","E01000134","E01000134_E01000134",1819,1819,1819,1,1,"U"
"E01000135","E01000135","E01000135_E01000135",1784,1784,1784,1,1,"U"
"E01000136","E01000136","E01000136_E01000136",1477,1477,1477,1,1,"U"
"E01000137","E01000137","E01000137_E01000137",1680,1680,1680,1,1,"U"
"E01000138","E01000138","E01000138_E01000138",1673,1673,1673,1,1,"U"
"E01000139","E01000139","E01000139_E01000139",1376,1376,1376,1,1,"U"
"E01000140","E01000140","E01000140_E01000140",1840,1840,1840,1,1,"U"
"E01000141","E01000141","E01000141_E01000141",1893,1893,1893,1,1,"U"
"E01000142","E01000142","E01000142_E01000142",2125,2125,2125,1,1,"U"
"E01000143","E01000143","E01000143_E01000143",1697,1697,1697,1,1,"U"
"E01000144","E01000144","E01000144_E01000144",1660,1660,1660,1,1,"U"
"E01000145","E01000145","E01000145_E01000145",1612,1612,1612,1,1,"U"
"E01000146","E01000146","E01000146_E01000146",1870,1870,1870,1,1,"U"
"E01000147","E01000147","E01000147_E01000147",1907,1907,1907,1,1,"U"
"E01000148","E01033923","E01000148_E01033923",1603,3143,1603,1,0.510022271714922,"S"
"E01000148","E01033924","E01000148_E01033924",1540,3143,1540,1,0.489977728285078,"S"
